player_id,name,team,salary,age,impact_now,years_left
1630174,Aaron Nesmith,IND,11000000.0,25.0,1.87,2.6
1630175,Cole Anthony,MEM,12900000.0,25.0,1.46,2.6
1630178,Tyrese Maxey,PHI,35147000.0,24.0,3.62,2.4
1630182,Josh Green,CHA,12654321.0,24.0,1.22,2.4
1630183,Jaden McDaniels,MIN,23017242.0,24.0,2.09,2.4
1630188,Jalen Smith,CHI,8571429.0,25.0,1.57,2.6
1630191,Isaiah Stewart,DET,15000000.0,24.0,1.34,2.4
1630192,Zeke Nnaji,DEN,8888889.0,24.0,0.62,2.4
1630193,Immanuel Quickley,TOR,32500000.0,26.0,2.62,2.8
1630194,Paul Reed,DET,3913234.0,26.0,0.83,2.8
1630194,Paul Reed,DET,3913234.0,26.0,0.83,2.8
1630198,Isaiah Joe,OKC,12991650.0,25.0,1.67,2.6
1630200,Tre Jones,CHI,9104167.0,25.0,1.37,2.6
1630201,Malachi Flynn,SAS,119972.0,27.0,0.67,3.0
1630202,Payton Pritchard,BOS,6696429.0,27.0,2.39,3.0
1630205,Lamar Stevens,MEM,623856.0,27.0,0.69,3.0
1630205,Lamar Stevens,MEM,623856.0,27.0,0.69,3.0
1630205,Lamar Stevens,MEM,623856.0,27.0,0.69,3.0
1630208,Nick Richards,PHX,5000000.0,27.0,1.68,3.0
1630214,Xavier Tillman,BOS,,26.0,0.24,2.8
1630215,Jared Butler,PHI,745726.0,24.0,1.38,2.4
1630217,Desmond Bane,ORL,34005250.0,27.0,2.98,3.0
1630222,Mason Jones,SAC,,26.0,0.43,2.8
1630224,Jalen Green,HOU,12483048.0,23.0,2.81,2.2
1630227,Daishen Nix,MIN,119972.0,23.0,0.0,2.2
1630228,Jonathan Kuminga,GSW,7636307.0,22.0,2.13,2.0
1630230,Naji Marshall,DAL,8571429.0,27.0,1.99,3.0
1630231,KJ Martin,UTA,7975000.0,24.0,1.04,2.4
1630241,Sam Merrill,CLE,2164993.0,29.0,1.27,2.6
1630243,Trevelin Queen,ORL,,28.0,0.84,2.8
1630245,Ayo Dosunmu,CHI,7000000.0,25.0,1.99,2.6
1630249,Vít Krejčí,ATL,,25.0,1.34,2.6
1630256,Jae'Sean Tate,HOU,7565217.0,29.0,0.69,2.6
1630264,Anthony Gill,WAS,2237691.0,32.0,0.41,2.0
1630283,Kylor Kelley,LAL,73153.0,27.0,0.67,3.0
1630283,Kylor Kelley,LAL,73153.0,27.0,0.67,3.0
1630288,Jeff Dowtin Jr.,PHI,,28.0,1.12,2.8
1630296,Braxton Key,GSW,11997.0,28.0,0.18,2.8
1630311,Pat Spencer,GSW,438810.0,28.0,0.45,2.8
1630314,Brandon Williams,DAL,47989.0,25.0,1.16,2.6
1630322,Lindy Waters III,DET,2196970.0,27.0,0.91,3.0
1630346,Matt Ryan,NOP,621439.0,28.0,0.21,2.8
1630526,Jeremiah Robinson-Earl,NOP,2196970.0,24.0,1.23,2.4
1630527,Brandon Boston,NOP,,23.0,1.64,2.2
1630528,Josh Christopher,MIA,,23.0,0.31,2.2
1630529,Herbert Jones,NOP,12976362.0,26.0,1.74,2.8
1630530,Trey Murphy III,NOP,5159854.0,25.0,3.08,2.6
1630531,Jaden Springer,UTA,4772772.0,22.0,0.48,2.0
1630531,Jaden Springer,UTA,4772772.0,22.0,0.48,2.0
1630531,Jaden Springer,UTA,4772772.0,22.0,0.48,2.0
1630532,Franz Wagner,ORL,7007092.0,23.0,3.34,2.2
1630533,Ziaire Williams,BKN,6133005.0,23.0,1.67,2.2
1630534,Ochai Agbaji,TOR,4310280.0,25.0,1.71,2.6
1630537,Chris Duarte,CHI,5893768.0,28.0,0.4,2.8
1630538,Bones Hyland,MIN,4158439.0,24.0,0.88,2.4
1630539,Kai Jones,DAL,,24.0,0.87,2.4
1630540,Miles McBride,NYK,4710144.0,24.0,1.68,2.4
1630541,Moses Moody,GSW,5803269.0,23.0,1.52,2.2
1630542,Marcus Bagley,PHI,126356.0,23.0,1.59,2.2
1630542,Marcus Bagley,PHI,126356.0,23.0,1.59,2.2
1630543,Isaiah Jackson,IND,4435381.0,23.0,1.38,2.2
1630544,Tre Mann,CHA,4908373.0,24.0,1.88,2.4
1630545,Terrence Shannon Jr.,MIN,2546640.0,24.0,0.65,2.4
1630548,Johnny Juzang,UTA,3087519.0,24.0,1.42,2.4
1630549,Day'Ron Sharpe,BKN,3989122.0,23.0,1.55,2.2
1630550,JT Thor,WAS,,22.0,0.65,2.0
1630551,Justin Champagnie,WAS,1800000.0,24.0,1.65,2.4
1630552,Jalen Johnson,ATL,4510905.0,23.0,3.19,2.2
1630553,Keon Johnson,BKN,2162606.0,23.0,1.66,2.2
1630556,Kessler Edwards,DAL,,24.0,0.9,2.4
1630557,Corey Kispert,WAS,5705887.0,26.0,1.69,2.8
1630558,Davion Mitchell,MIA,6451077.0,26.0,1.4,2.8
1630559,Austin Reaves,LAL,12976362.0,27.0,2.98,3.0
1630560,Cam Thomas,BKN,4041249.0,23.0,2.95,2.2
